Total_Duration_Minute,Total_Distance,Number_Of_Stops
1025.0,773,28
450.0,335,19
435.0,335,19
335.0,261,14
360.0,261,14
175.0,1295,21
205.0,1296,21
405.0,314,15
415.0,314,15
495.0,212,27
395.0,203,27
590.0,398,28
560.0,398,26
455.0,271,21
425.0,271,21
225.0,184,10
265.0,184,10
630.0,1568,33
410.0,1571,33
845.0,635,22
975.0,635,22
245.0,1385,14
300.0,236,8
285.0,236,8
960.0,661,18
870.0,661,18
1200.0,1027,23
1290.0,1029,23
450.0,382,18
440.0,382,18
155.0,123,9
150.0,123,9
750.0,462,27
745.0,462,29
150.0,106,7
150.0,106,7
815.0,639,29
835.0,639,28
1000.0,1668,63
800.0,1669,58
1090.0,919,39
1110.0,919,39
240.0,209,8
255.0,209,8
1000.0,1650,58
800.0,1653,58
545.0,438,21
525.0,438,21
395.0,314,14
380.0,314,14
10.0,1211,34
30.0,1209,34
1000.0,2094,31
930.0,2091,31
590.0,471,21
560.0,471,21
710.0,534,15
750.0,534,15
650.0,445,10
580.0,445,10
975.0,751,14
935.0,751,14
975.0,604,31
995.0,605,30
640.0,521,29
645.0,521,29
145.0,108,6
160.0,108,6
960.0,735,41
575.0,479,17
600.0,479,17
1290.0,2242,38
135.0,2240,37
175.0,150,10
205.0,150,10
360.0,300,11
390.0,300,11
400.0,291,12
380.0,291,12
75.0,1193,36
60.0,1194,37
25.0,1145,31
1395.0,1146,32
25.0,1170,33
1400.0,1171,33
1365.0,1082,40
1390.0,1082,40
360.0,324,2
290.0,324,2
1435.0,1122,26
45.0,1124,26
855.0,551,31
800.0,551,28
1000.0,813,16
1000.0,814,16
765.0,503,36
795.0,505,37
485.0,329,16
960.0,698,20
965.0,698,20
260.0,1255,39
155.0,1256,39
190.0,2501,23
355.0,2504,23
755.0,1718,73
755.0,1718,73
155.0,81,5
145.0,81,5
1203.0,1056,15
1215.0,1055,15
145.0,2460,24
1205.0,2473,24
1020.0,823,11
1065.0,823,11
20.0,859,50
45.0,864,50
640.0,1747,20
555.0,1748,20
305.0,243,8
310.0,243,8
405.0,278,10
400.0,277,10
355.0,246,20
335.0,247,20
155.0,107,8
120.0,107,8
135.0,107,9
140.0,107,9
605.0,341,11
470.0,341,11
1390.0,2285,39
1345.0,2286,39
1035.0,855,19
1015.0,858,19
1155.0,879,27
1225.0,882,27
1065.0,873,22
1095.0,875,23
805.0,535,13
860.0,536,13
635.0,440,21
680.0,440,21
845.0,748,8
860.0,749,8
390.0,248,11
390.0,248,11
630.0,1745,23
640.0,1745,23
650.0,1743,23
640.0,1743,23
875.0,1896,26
1035.0,1895,26
365.0,333,11
415.0,333,11
765.0,1777,31
675.0,1780,31
540.0,1878,19
785.0,1882,19
345.0,234,15
345.0,234,16
240.0,177,10
260.0,179,16
295.0,222,14
315.0,222,14
40.0,996,21
1400.0,996,21
625.0,492,11
635.0,493,10
345.0,2790,37
215.0,2785,37
20.0,1091,50
75.0,1092,46
425.0,204,17
355.0,204,17
990.0,670,37
1020.0,674,37
820.0,585,28
770.0,585,27
495.0,1520,48
535.0,1523,48
510.0,1485,48
475.0,1486,46
260.0,159,13
230.0,159,13
245.0,2729,36
265.0,2729,35
530.0,1523,32
690.0,1520,34
710.0,534,10
685.0,534,10
685.0,535,11
675.0,536,11
790.0,1924,24
950.0,1925,23
710.0,1744,25
690.0,1745,25
705.0,549,12
705.0,550,12
15.0,955,45
1400.0,956,45
170.0,109,8
220.0,109,8
20.0,1182,22
110.0,1185,22
660.0,373,19
615.0,373,19
1065.0,589,26
915.0,589,26
405.0,308,15
415.0,309,15
795.0,1638,58
805.0,1638,59
165.0,1253,25
200.0,1255,25
720.0,1612,28
605.0,1615,28
790.0,1963,20
720.0,1963,20
460.0,243,10
450.0,243,10
975.0,2018,27
1010.0,2020,27
700.0,1865,26
830.0,1866,26
1110.0,2294,14
1260.0,2295,14
840.0,571,35
830.0,570,35
400.0,233,20
405.0,233,20
690.0,491,25
725.0,491,25
455.0,332,14
525.0,332,14
1415.0,1093,21
1360.0,1093,21
725.0,1901,25
900.0,1904,25
455.0,2541,46
270.0,2540,46
420.0,2796,40
375.0,2797,40
150.0,2462,34
1395.0,2461,34
430.0,1512,26
485.0,1513,26
475.0,1534,27
465.0,1548,26
235.0,2598,47
185.0,2597,48
295.0,2740,54
300.0,2739,55
1405.0,2344,43
55.0,2348,43
1405.0,2431,43
55.0,2433,43
315.0,2606,40
530.0,2607,40
1285.0,977,33
1230.0,977,33
865.0,1555,40
835.0,1554,40
130.0,1228,29
150.0,1232,29
340.0,250,9
345.0,249,9
325.0,250,7
295.0,249,7
840.0,1787,51
780.0,1790,53
530.0,398,11
530.0,419,11
415.0,289,19
430.0,289,19
930.0,1834,28
970.0,1834,28
685.0,405,26
630.0,404,26
315.0,202,18
315.0,202,18
1020.0,752,18
945.0,773,18
785.0,545,13
720.0,545,13
396.0,262,19
510.0,262,19
285.0,161,14
240.0,161,14
595.0,450,27
585.0,449,26
430.0,300,20
430.0,300,20
285.0,182,12
285.0,182,12
390.0,2636,35
540.0,2640,35
870.0,595,27
840.0,595,27
845.0,2870,38
790.0,2872,38
830.0,1712,32
740.0,1712,32
740.0,1507,56
680.0,1528,56
925.0,604,31
885.0,603,31
165.0,1365,26
195.0,1363,27
575.0,498,24
630.0,499,23
190.0,143,10
180.0,143,10
605.0,2859,81
745.0,2857,82
215.0,148,8
220.0,146,9
195.0,148,8
230.0,146,9
190.0,144,15
170.0,144,14
265.0,212,16
255.0,213,16
925.0,2086,47
1080.0,2083,46
790.0,664,24
815.0,664,25
975.0,775,29
985.0,774,29
255.0,196,10
235.0,196,10
1295.0,1095,48
1385.0,1096,48
60.0,31,4
40.0,31,3
505.0,360,16
490.0,360,16
500.0,394,13
500.0,394,13
780.0,682,26
815.0,682,27
460.0,351,18
430.0,350,18
35.0,10,2
25.0,10,2
870.0,591,29
815.0,592,27
215.0,148,10
240.0,146,11
465.0,372,13
450.0,372,13
30.0,2278,45
1390.0,2279,44
165.0,138,10
170.0,138,10
380.0,1304,24
365.0,1304,24
695.0,508,35
700.0,508,31
280.0,2698,35
895.0,676,24
930.0,676,25
160.0,120,7
145.0,120,7
1030.0,775,35
485.0,327,30
475.0,327,30
295.0,220,19
310.0,219,19
345.0,282,16
355.0,282,17
455.0,338,27
485.0,339,28
310.0,2701,44
365.0,2704,44
455.0,338,27
485.0,339,26
965.0,829,22
950.0,830,22
910.0,1953,43
985.0,1954,42
1345.0,2407,59
60.0,2411,59
1255.0,2348,56
1335.0,2352,56
1095.0,2253,50
1240.0,2258,51
910.0,1874,40
860.0,1875,39
390.0,302,23
410.0,302,22
880.0,609,22
880.0,610,22
375.0,1510,46
415.0,1514,46
865.0,630,50
865.0,632,49
75.0,67,9
80.0,66,9
965.0,1942,47
950.0,1945,46
300.0,1490,31
350.0,1492,31
620.0,2987,44
405.0,2980,44
1250.0,2130,63
1320.0,2132,62
580.0,1797,25
770.0,1785,27
1095.0,1949,34
880.0,1952,33
1315.0,2103,46
1140.0,2104,45
950.0,667,22
900.0,649,22
880.0,579,20
940.0,578,20
215.0,148,16
200.0,148,15
105.0,70,8
95.0,70,8
315.0,262,14
340.0,260,14
1250.0,934,46
1160.0,934,49
800.0,655,18
835.0,654,18
1395.0,2213,38
40.0,2201,38
1395.0,2173,30
1425.0,2161,30
1240.0,966,32
1250.0,964,32
160.0,138,9
180.0,138,9
1065.0,833,20
1035.0,833,20
780.0,611,15
810.0,599,15
855.0,687,18
815.0,687,18
615.0,453,10
690.0,452,10
585.0,409,14
540.0,394,14
435.0,333,12
375.0,332,12
345.0,268,9
330.0,267,9
370.0,268,10
365.0,267,10
110.0,2440,35
310.0,2440,34
985.0,797,30
1000.0,794,30
895.0,668,30
940.0,668,30
1410.0,1021,43
45.0,1021,43
820.0,620,32
760.0,619,31
955.0,691,41
900.0,689,41
1235.0,2220,35
1170.0,2222,36
510.0,334,10
430.0,334,9
700.0,498,17
645.0,498,15
930.0,631,54
895.0,632,54
930.0,703,52
955.0,702,50
1030.0,858,31
1025.0,858,32
1115.0,816,23
1095.0,817,23
585.0,454,11
565.0,454,11
675.0,454,11
600.0,347,29
565.0,348,29
570.0,2916,20
435.0,2912,20
465.0,400,19
470.0,400,19
1015.0,796,23
1015.0,795,23
1040.0,861,19
1015.0,861,19
1350.0,983,52
1280.0,982,53
930.0,699,23
935.0,698,23
105.0,2853,43
325.0,2855,42
950.0,771,25
998.0,771,25
215.0,163,9
210.0,162,9
370.0,316,21
345.0,305,20
855.0,639,15
870.0,640,15
1380.0,1135,41
1370.0,1135,41
305.0,1467,27
240.0,1468,28
1030.0,2002,34
910.0,2004,34
465.0,376,9
640.0,373,9
300.0,243,16
295.0,243,14
435.0,341,15
435.0,341,15
280.0,243,13
330.0,243,13
1030.0,791,26
985.0,793,26
1015.0,2120,28
1030.0,2121,28
1040.0,875,30
1125.0,875,29
720.0,615,23
755.0,615,23
465.0,391,24
495.0,390,25
1010.0,2051,31
960.0,2053,32
145.0,1346,39
198.0,1347,39
1325.0,1129,32
1363.0,1130,32
1185.0,962,35
1135.0,962,36
1110.0,768,21
1005.0,768,21
1325.0,1092,23
1425.0,1092,23
830.0,619,16
890.0,619,16
140.0,1306,23
65.0,1306,23
935.0,693,26
945.0,691,26
340.0,1562,43
425.0,1563,43
1415.0,1048,27
1425.0,1048,28
575.0,375,34
515.0,374,34
875.0,669,16
835.0,668,16
620.0,382,27
490.0,383,26
120.0,76,8
125.0,77,8
630.0,462,21
655.0,464,21
570.0,493,18
630.0,490,17
125.0,90,4
1360.0,993,34
1420.0,994,32
930.0,665,18
905.0,662,18
1320.0,1029,24
1275.0,1027,25
205.0,1269,24
375.0,1273,27
930.0,732,16
990.0,731,16
895.0,660,22
950.0,661,22
1105.0,796,12
1220.0,797,13
1090.0,2037,24
955.0,2037,24
760.0,607,25
775.0,609,25
610.0,466,21
575.0,466,21
140.0,94,8
165.0,94,9
50.0,1154,61
40.0,1153,62
640.0,462,19
650.0,463,19
240.0,184,9
240.0,184,9
665.0,517,18
655.0,517,19
405.0,302,11
405.0,302,11
1175.0,904,31
1225.0,903,32
315.0,1419,37
245.0,1419,38
1120.0,778,31
1130.0,777,26
230.0,1231,72
245.0,1231,73
375.0,1402,65
425.0,1400,66
900.0,735,36
920.0,736,33
805.0,653,18
810.0,652,18
215.0,1522,28
330.0,1518,28
480.0,1736,17
500.0,1738,17
1045.0,667,13
930.0,667,14
30.0,1283,23
70.0,1286,23
705.0,604,20
705.0,604,20
345.0,236,8
330.0,236,8
1395.0,1148,28
60.0,1148,28
630.0,1675,29
665.0,1677,29
480.0,347,21
565.0,341,19
680.0,513,21
645.0,513,21
960.0,730,32
945.0,730,32
1090.0,759,36
1070.0,760,36
980.0,825,21
990.0,824,23
545.0,416,24
560.0,419,24
75.0,1163,48
120.0,1164,46
320.0,260,13
380.0,259,13
990.0,2000,24
1110.0,2002,24
860.0,1957,83
830.0,1955,82
935.0,2128,44
930.0,2125,45
1400.0,2017,71
1200.0,2017,72
555.0,1746,25
550.0,1747,25
825.0,644,13
810.0,644,13
1410.0,2434,42
105.0,2421,42
1015.0,796,26
1050.0,796,26
1130.0,629,37
1080.0,629,37
690.0,507,36
695.0,507,35
170.0,159,9
180.0,159,10
1100.0,685,33
1145.0,687,31
175.0,1207,25
185.0,1212,25
1060.0,879,20
1130.0,883,21
175.0,1153,24
320.0,1161,24
110.0,1396,22
165.0,1404,22
870.0,660,15
1010.0,665,15
1400.0,1250,20
35.0,1258,20
755.0,1906,26
850.0,1916,26
0.0,1008,72
10.0,1009,74
1190.0,720,67
1300.0,721,67
1075.0,1998,85
1205.0,1990,89
695.0,520,31
445.0,406,18
670.0,463,32
700.0,471,32
640.0,1818,33
670.0,1808,33
685.0,1884,33
770.0,1874,33
675.0,468,39
700.0,465,39
395.0,321,20
365.0,321,20
395.0,340,16
405.0,340,16
540.0,378,14
575.0,381,14
1185.0,890,37
1155.0,893,37
265.0,2779,41
110.0,2775,41
155.0,126,6
175.0,126,6
785.0,2013,40
810.0,2005,40
525.0,1697,26
455.0,1691,26
575.0,504,20
580.0,503,21
270.0,172,12
225.0,172,12
645.0,396,30
625.0,396,30
1390.0,998,24
1330.0,998,24
1345.0,2483,41
65.0,2479,41
1030.0,810,28
1020.0,803,28
200.0,146,11
210.0,146,11
1060.0,784,41
1080.0,784,41
1175.0,926,27
1095.0,926,27
920.0,686,24
905.0,686,25
395.0,1546,47
410.0,1545,46
0.0,2347,76
20.0,2354,75
610.0,1884,25
660.0,1884,25
925.0,2116,29
950.0,2113,29
195.0,1406,25
175.0,1405,25
1420.0,2552,48
5.0,2556,48
420.0,357,12
425.0,357,11
900.0,726,31
905.0,727,31
315.0,1512,20
260.0,1497,20
370.0,1572,33
255.0,1576,33
995.0,2056,35
1075.0,2060,35
990.0,637,17
1020.0,640,17
900.0,2014,29
935.0,2018,29
765.0,574,30
760.0,576,30
600.0,480,20
685.0,482,20
555.0,430,17
565.0,426,17
590.0,400,17
590.0,402,17
880.0,571,42
940.0,569,43
675.0,417,26
685.0,414,25
560.0,417,21
570.0,414,21
550.0,1663,39
525.0,1665,39
615.0,1884,27
760.0,1884,27
370.0,1602,59
380.0,1602,61
180.0,64,8
145.0,64,8
490.0,314,27
510.0,314,27
1275.0,958,63
1330.0,958,62
1050.0,1676,98
1100.0,1678,92
370.0,1681,23
470.0,1681,23
890.0,1759,94
875.0,1762,97
690.0,567,21
720.0,567,21
790.0,1878,33
775.0,1879,33
135.0,1200,43
110.0,1203,43
380.0,297,27
375.0,297,27
135.0,99,10
160.0,99,11
905.0,1832,68
915.0,1831,68
1390.0,2142,82
1355.0,2140,82
665.0,1909,31
740.0,1910,27
525.0,1732,35
580.0,1730,35
660.0,1786,17
565.0,1785,17
1340.0,2121,25
1290.0,2120,25
975.0,750,18
935.0,751,18
185.0,1403,13
315.0,1402,13
345.0,1635,28
365.0,1636,28
375.0,1596,18
405.0,1595,18
425.0,1537,19
610.0,1539,19
960.0,843,29
920.0,843,29
560.0,435,19
570.0,435,19
360.0,300,17
355.0,300,17
1335.0,1945,70
1390.0,1945,72
755.0,1600,57
795.0,1601,57
535.0,1690,29
590.0,1689,29
1275.0,958,63
940.0,807,30
945.0,807,33
495.0,1474,58
430.0,1476,60
715.0,489,24
735.0,489,24
590.0,438,17
565.0,438,17
1290.0,2274,41
1175.0,2270,41
1290.0,2427,30
1235.0,2423,30
265.0,1394,28
275.0,1396,32
175.0,2465,35
125.0,2465,35
850.0,1895,32
1075.0,1895,32
335.0,262,18
340.0,262,17
70.0,1100,19
1345.0,1102,19
725.0,563,19
675.0,564,19
1075.0,969,17
1175.0,970,17
200.0,1347,17
235.0,1347,17
200.0,1394,17
235.0,1395,17
245.0,217,7
260.0,217,7
305.0,1323,24
195.0,1326,24
434.0,302,16
405.0,302,16
705.0,481,18
745.0,481,18
1095.0,2300,32
1285.0,2296,32
170.0,1298,27
235.0,1300,27
360.0,1550,20
365.0,1552,20
520.0,1693,21
500.0,1696,21
470.0,1569,29
525.0,1569,29
580.0,489,12
550.0,491,12
550.0,2617,37
365.0,2618,37
705.0,1716,31
815.0,1718,31
585.0,1721,26
450.0,1719,27
600.0,1666,29
730.0,1669,28
670.0,1662,33
620.0,1664,33
215.0,2730,42
435.0,2730,43
280.0,201,15
255.0,201,15
1195.0,1049,20
1270.0,1051,20
1340.0,1126,20
1390.0,1126,20
1290.0,2438,29
80.0,2434,29
1305.0,1102,24
1290.0,1105,24
1095.0,2235,29
1180.0,2232,29
1095.0,2000,30
1325.0,2004,30
1280.0,968,29
1250.0,1006,31
1170.0,1006,31
1010.0,847,26
970.0,847,26
753.0,1880,24
835.0,1883,24
1270.0,1080,29
1290.0,1080,29
1320.0,1103,39
1315.0,1106,39
25.0,2213,37
1405.0,2210,37
1035.0,792,34
995.0,792,34
625.0,1726,31
535.0,1726,31
805.0,675,17
815.0,674,17
735.0,569,17
725.0,569,17
50.0,1125,30
115.0,1127,30
1305.0,1084,22
1235.0,1086,22
280.0,238,11
290.0,239,11
1010.0,2412,16
1060.0,2413,16
530.0,558,6
535.0,554,7
295.0,273,11
295.0,273,11
185.0,1486,22
175.0,1484,22
1055.0,981,13
1060.0,978,13
1200.0,2433,43
1200.0,2426,43
930.0,862,24
940.0,862,24
210.0,1893,13
210.0,1894,13
1145.0,1234,8
1165.0,1233,8
215.0,185,4
190.0,185,4
160.0,1536,11
210.0,1535,11
119.0,95,4
100.0,95,4
60.0,63,2
70.0,63,2
825.0,643,17
885.0,643,17
280.0,260,7
282.0,260,8
200.0,1600,17
305.0,1599,17
205.0,191,8
205.0,191,7
1195.0,1501,9
1200.0,1504,9
635.0,603,20
625.0,604,20
210.0,1513,26
215.0,1517,26
590.0,545,8
595.0,547,8
720.0,730,10
785.0,730,10
500.0,561,7
510.0,563,7
1405.0,1411,11
70.0,1411,11
840.0,892,10
955.0,892,10
195.0,1518,10
15.0,1521,10
1155.0,1122,21
1155.0,1123,21
185.0,1543,19
230.0,1543,19
710.0,644,13
710.0,644,13
750.0,780,16
845.0,780,16
1015.0,961,14
1035.0,961,14
480.0,457,8
735.0,667,17
725.0,667,17
149.0,136,9
149.0,136,9
360.0,330,8
360.0,330,8
35.0,1371,18
5.0,1366,18
1250.0,1191,19
1295.0,1193,19
290.0,290,11
305.0,292,11
400.0,367,9
400.0,367,9
705.0,656,11
720.0,655,11
1115.0,1050,11
855.0,883,15
870.0,886,15
330.0,330,10
365.0,330,10
255.0,238,11
255.0,238,11
600.0,554,19
600.0,554,19
475.0,527,3
495.0,526,3
630.0,708,3
615.0,708,3
520.0,553,3
515.0,555,3
860.0,901,11
870.0,904,11
1035.0,1373,5
1010.0,1376,5
515.0,538,4
535.0,539,4
225.0,172,5
170.0,173,5
595.0,560,8
615.0,560,8
260.0,239,10
260.0,240,10
820.0,757,9
825.0,758,9
40.0,2706,28
5.0,2712,28
1270.0,1142,16
295.0,269,16
295.0,270,16
640.0,630,8
620.0,630,8
1015.0,2364,15
1090.0,2363,15
1130.0,1193,22
1070.0,1193,22
885.0,780,9
830.0,780,9
980.0,968,10
880.0,968,10
845.0,2127,16
845.0,2130,16
160.0,1908,10
115.0,1907,10
630.0,2083,21
685.0,2083,21
810.0,768,9
830.0,768,9
890.0,809,12
885.0,809,12
675.0,623,22
675.0,624,22
1185.0,1086,16
1170.0,1087,16
880.0,876,11
930.0,876,11
605.0,553,15
600.0,553,17
1365.0,1255,18
1360.0,1255,18
910.0,822,11
860.0,824,10
480.0,655,5
190.0,194,9
190.0,194,9
285.0,1607,22
205.0,1608,22
975.0,897,14
975.0,897,14
75.0,63,2
70.0,63,2
245.0,1580,24
215.0,1583,24
475.0,458,10
495.0,458,10
150.0,1615,15
195.0,1618,15
590.0,1849,26
480.0,1852,26
700.0,654,8
690.0,654,8
220.0,172,4
170.0,173,4
475.0,455,14
475.0,455,14
1315.0,1211,23
1320.0,1209,23
1180.0,2478,34
1265.0,2482,34
290.0,312,12
290.0,311,12
635.0,620,19
645.0,619,19
585.0,558,14
555.0,558,14
140.0,91,7
155.0,91,7
960.0,879,22
965.0,884,22
80.0,1391,23
75.0,1391,24
435.0,1779,20
465.0,1782,20
645.0,1984,30
685.0,1986,30
675.0,617,14
670.0,616,14
440.0,404,14
430.0,405,14
1050.0,2295,22
1065.0,2295,22
230.0,1661,15
245.0,1662,15
470.0,466,8
460.0,469,8
360.0,336,9
350.0,336,9
1265.0,2494,30
1220.0,2494,30
440.0,399,12
440.0,398,12
600.0,556,11
605.0,557,11
345.0,360,11
360.0,361,12
500.0,457,13
500.0,457,13
440.0,1758,26
470.0,1763,26
1235.0,2560,32
1160.0,2558,32
0.0,2841,29
185.0,2840,29
345.0,319,10
345.0,320,10
985.0,896,31
980.0,898,32
825.0,753,25
825.0,755,26
1255.0,2565,37
1300.0,2564,37
165.0,2785,44
135.0,2782,42
25.0,2643,52
1380.0,2648,51
1295.0,2510,55
1275.0,2508,55
430.0,390,18
425.0,393,18
800.0,669,19
795.0,671,20
70.0,2854,28
255.0,2852,28
40.0,2841,28
255.0,2840,28
645.0,592,19
650.0,592,20
1125.0,2353,27
1130.0,2352,27
570.0,531,14
560.0,532,14
40.0,31,4
40.0,31,4
930.0,844,13
925.0,845,13
190.0,226,10
190.0,211,10
545.0,499,12
530.0,498,11
1140.0,2352,30
1140.0,2338,31
275.0,2846,18
175.0,2845,18
145.0,126,4
135.0,126,4
595.0,2337,15
595.0,2355,15
920.0,828,18
920.0,829,17
235.0,2964,14
355.0,2965,14
790.0,760,18
790.0,759,18
875.0,804,16
645.0,664,11
660.0,663,11
485.0,1871,18
540.0,1869,18
225.0,1657,18
135.0,1656,18
560.0,552,17
555.0,552,17
1380.0,1717,14
1365.0,1718,14
435.0,490,12
530.0,489,12
800.0,2144,23
765.0,2145,23
695.0,2106,21
860.0,2107,23
440.0,442,27
200.0,188,11
195.0,189,11
70.0,1802,13
20.0,1802,13
205.0,1662,24
305.0,1661,24
455.0,1766,18
460.0,1759,18
1175.0,2431,31
1213.0,2431,31
410.0,1765,19
430.0,1764,19
60.0,1511,19
105.0,1514,19
525.0,502,11
535.0,500,11
1000.0,2234,28
1000.0,2238,27
440.0,417,12
450.0,417,12
1055.0,966,22
1050.0,964,22
380.0,1771,19
405.0,1779,19
275.0,1662,23
305.0,1655,24
135.0,1590,20
205.0,1589,20
1060.0,2485,40
1140.0,2485,40
845.0,882,16
915.0,880,16
110.0,1613,18
150.0,1612,18
175.0,1567,11
190.0,1566,11
1285.0,1247,21
1350.0,1247,21
290.0,288,10
310.0,288,10
305.0,1957,12
315.0,1959,12
510.0,1853,18
485.0,1860,18
1280.0,1255,16
1325.0,1266,16
830.0,780,13
795.0,780,13
1245.0,1178,19
1280.0,1178,19
905.0,930,17
935.0,930,16
235.0,207,14
235.0,207,14
780.0,2289,24
865.0,2293,24
1245.0,1178,21
1280.0,1178,21
365.0,1705,14
400.0,1706,14
300.0,1493,27
420.0,1504,28
60.0,1701,14
110.0,1704,14
535.0,1970,19
515.0,1973,20
595.0,550,13
580.0,550,13
500.0,469,14
500.0,466,15
335.0,1795,16
325.0,1801,16
202.0,185,9
202.0,186,9
1015.0,944,16
1000.0,945,16
765.0,838,8
795.0,838,8
180.0,176,5
220.0,176,5
1420.0,1352,18
75.0,1348,18
810.0,2073,24
800.0,2075,24
435.0,1744,34
470.0,1745,34
505.0,1846,13
30.0,1404,30
60.0,1405,30
245.0,1610,26
195.0,1613,26
425.0,1721,12
425.0,1719,12
90.0,69,3
105.0,69,3
520.0,480,22
520.0,480,17
250.0,234,14
245.0,234,14
1335.0,1226,27
1335.0,1227,27
1135.0,1146,15
1130.0,1147,15
845.0,787,12
855.0,787,12
195.0,1600,23
260.0,1600,23
385.0,1689,23
400.0,1697,23
90.0,1393,16
15.0,1396,16
1015.0,963,17
1050.0,963,17
1080.0,986,30
1080.0,986,31
25.0,1342,27
935.0,853,15
935.0,853,15
535.0,490,27
535.0,490,27
905.0,838,22
910.0,838,22
470.0,430,16
610.0,556,21
605.0,556,21
585.0,547,18
595.0,547,18
835.0,780,18
845.0,780,18
1015.0,929,10
1025.0,931,10
160.0,1488,20
185.0,1487,20
785.0,2023,23
655.0,2024,23
570.0,1847,14
503.0,1846,14
1200.0,2436,38
1210.0,2443,38
1000.0,918,28
970.0,919,28
465.0,432,14
935.0,881,16
945.0,881,16
950.0,910,12
990.0,910,12
945.0,881,15
960.0,881,15
210.0,185,4
190.0,185,4
50.0,30,3
45.0,30,3
190.0,109,11
220.0,109,11
145.0,81,6
115.0,81,6
360.0,204,11
340.0,204,11
50.0,24,3
55.0,24,3
410.0,349,15
450.0,349,15
1240.0,740,38
1200.0,740,38
210.0,157,6
260.0,157,6
150.0,76,3
125.0,76,3
90.0,76,3
115.0,76,3
95.0,58,6
75.0,58,6
190.0,173,4
230.0,172,4
580.0,1358,37
535.0,1357,37
295.0,179,14
270.0,179,14
280.0,276,8
295.0,276,8
124.0,45,23
107.0,33,19
51.0,25,14
116.0,51,26
133.0,60,29
99.0,49,25
147.0,66,32
161.0,84,34
193.0,128,42
157.0,102,34
101.0,53,21
95.0,53,21
29.0,9,8
75.0,28,18
92.0,33,21
88.0,33,21
92.0,41,23
109.0,41,23
187.0,85,35
143.0,77,34
184.0,80,36
124.0,55,27
134.0,55,27
122.0,55,27
157.0,87,28
158.0,87,34
165.0,87,34
80.0,37,17
88.0,45,19
89.0,33,15
72.0,33,15
160.0,90,31
80.0,24,11
63.0,24,11
85.0,24,11
61.0,24,11
61.0,24,11
66.0,24,11
90.0,31,16
66.0,30,14
96.0,37,17
143.0,46,24
117.0,67,26
126.0,67,26
125.0,67,26
121.0,67,26
128.0,67,26
214.0,154,39
220.0,154,37
168.0,116,35
180.0,116,35
30.0,15,7
24.0,15,7
40.0,25,9
43.0,25,9
37.0,25,4
40.0,25,5
37.0,25,5
43.0,25,9
41.0,25,9
42.0,25,7
38.0,25,9
45.0,25,9
40.0,25,9
43.0,25,9
38.0,25,9
41.0,25,9
40.0,25,9
40.0,25,9
40.0,25,9
42.0,25,9
40.0,25,9
42.0,25,9
40.0,25,9
38.0,25,9
40.0,25,9
40.0,25,9
40.0,25,9
40.0,25,9
42.0,25,9
40.0,25,9
42.0,25,9
40.0,25,9
39.0,25,9
36.0,20,9
91.0,55,21
88.0,55,21
90.0,55,21
88.0,55,21
88.0,55,21
90.0,55,21
90.0,55,21
90.0,55,21
90.0,55,21
83.0,55,12
92.0,55,21
108.0,55,21
90.0,55,21
89.0,55,21
93.0,55,21
90.0,55,21
92.0,55,21
88.0,55,21
90.0,55,21
90.0,55,21
91.0,55,21
88.0,55,21
90.0,55,21
90.0,55,21
94.0,55,21
91.0,55,21
84.0,55,13
90.0,55,21
93.0,55,21
60.0,40,9
65.0,40,15
64.0,40,15
65.0,40,15
63.0,40,15
66.0,40,15
62.0,40,15
68.0,40,15
63.0,40,15
63.0,40,15
63.0,40,15
63.0,40,15
65.0,40,15
65.0,40,15
65.0,40,15
65.0,40,15
64.0,40,15
65.0,40,15
65.0,40,15
65.0,40,15
62.0,40,15
66.0,40,15
65.0,40,15
65.0,40,15
63.0,40,15
65.0,40,15
64.0,40,15
64.0,40,15
61.0,40,15
63.0,40,15
65.0,40,15
63.0,40,15
65.0,40,15
65.0,40,15
63.0,40,15
65.0,40,15
64.0,40,15
63.0,40,15
65.0,40,15
63.0,40,15
57.0,35,15
140.0,96,29
138.0,96,28
135.0,96,28
139.0,96,29
137.0,96,29
135.0,96,29
138.0,96,29
132.0,96,25
138.0,96,27
135.0,96,28
143.0,96,29
137.0,96,29
140.0,96,27
132.0,96,28
138.0,96,28
140.0,96,29
140.0,96,29
133.0,96,27
141.0,96,29
135.0,96,29
128.0,96,23
135.0,96,29
140.0,96,27
137.0,96,24
140.0,96,27
133.0,96,26
138.0,96,28
140.0,96,28
135.0,96,28
140.0,96,27
135.0,96,28
133.0,96,27
65.0,35,6
38.0,15,2
38.0,15,2
37.0,15,2
108.0,76,24
101.0,76,24
110.0,76,23
105.0,76,24
108.0,76,24
105.0,76,24
110.0,76,24
110.0,76,24
108.0,76,24
100.0,76,11
98.0,76,12
103.0,76,20
112.0,76,24
106.0,76,24
108.0,76,23
106.0,76,24
107.0,76,16
92.0,76,10
110.0,76,24
105.0,76,21
108.0,76,24
108.0,76,23
108.0,76,24
110.0,76,24
108.0,76,24
107.0,76,24
108.0,76,23
42.0,35,10
42.0,35,9
40.0,35,6
40.0,35,6
29.0,26,6
34.0,26,6
33.0,26,6
31.0,26,5
30.0,26,7
33.0,26,7
50.0,43,13
50.0,43,13
47.0,43,10
50.0,43,13
50.0,43,13
53.0,43,13
50.0,43,13
53.0,43,13
54.0,43,13
