Total_Duration_Minute,Total_Distance,Number_Of_Stops
165.0,1373,23
305.0,1373,23
1435.0,1321,21
90.0,1321,21
850.0,629,31
920.0,629,37
355.0,291,11
355.0,291,11
1195.0,939,12
1095.0,941,12
130.0,1051,49
70.0,1054,49
702.0,561,11
745.0,561,11
1295.0,1015,26
1290.0,1015,26
130.0,1340,28
165.0,1340,28
995.0,699,20
870.0,699,20
540.0,432,14
520.0,434,14
1075.0,737,47
40.0,1154,35
1410.0,1154,34
1410.0,989,38
1390.0,987,38
275.0,221,7
300.0,223,7
365.0,267,14
330.0,267,14
1420.0,1053,34
1415.0,1052,34
1380.0,1026,22
1425.0,1026,22
1020.0,811,18
1125.0,812,18
270.0,1478,17
275.0,1478,17
485.0,357,14
495.0,356,14
265.0,1156,45
75.0,1155,46
530.0,1561,34
570.0,1564,31
340.0,1416,50
345.0,1417,50
510.0,1572,49
465.0,1575,50
415.0,344,14
420.0,345,14
890.0,751,16
925.0,751,16
1015.0,823,20
965.0,821,20
305.0,215,6
295.0,215,6
430.0,292,13
400.0,294,13
510.0,688,10
505.0,690,10
400.0,504,7
390.0,504,7
245.0,268,5
245.0,268,5
420.0,498,4
430.0,499,4
380.0,490,9
400.0,490,9
245.0,268,6
250.0,268,6
360.0,447,8
360.0,447,8
400.0,442,10
415.0,442,10
355.0,314,8
345.0,314,8
430.0,436,10
465.0,434,10
405.0,402,10
425.0,401,11
520.0,530,14
470.0,531,14
510.0,598,8
505.0,598,8
300.0,360,4
300.0,361,4
385.0,447,8
375.0,447,8
385.0,447,8
375.0,447,8
320.0,430,5
295.0,430,4
210.0,240,4
220.0,240,4
325.0,328,7
330.0,328,7
330.0,283,8
340.0,283,8
495.0,560,7
485.0,560,7
425.0,397,8
430.0,397,8
210.0,243,4
205.0,243,4
390.0,385,10
440.0,385,10
100.0,181,2
100.0,183,2
520.0,581,9
515.0,585,9
440.0,406,11
440.0,406,11
350.0,304,9
370.0,304,10
455.0,386,14
420.0,386,14
395.0,447,10
405.0,450,10
315.0,330,10
330.0,330,10
410.0,389,10
415.0,389,10
410.0,376,11
410.0,375,11
420.0,419,15
420.0,411,15
450.0,422,7
465.0,422,7
415.0,442,9
400.0,441,9
445.0,399,12
420.0,398,12
430.0,453,10
435.0,453,10
445.0,470,11
445.0,468,11
550.0,500,15
550.0,499,15
385.0,361,10
390.0,361,10
545.0,506,10
535.0,505,10
360.0,332,8
380.0,332,8
420.0,1956,16
420.0,1963,17
55.0,1478,13
95.0,1478,13
970.0,971,26
970.0,972,27
1365.0,1408,11
15.0,1408,11
275.0,260,10
283.0,260,10
730.0,676,14
680.0,676,14
945.0,895,9
910.0,895,9
485.0,456,14
485.0,457,15
265.0,244,10
265.0,244,10
165.0,180,5
190.0,180,5
835.0,883,7
860.0,886,7
195.0,191,5
190.0,191,4
205.0,190,8
205.0,190,7
197.0,191,6
190.0,191,5
585.0,2026,30
540.0,2033,30
360.0,330,8
365.0,330,8
878.0,903,14
870.0,909,14
945.0,895,18
910.0,895,18
615.0,1910,56
595.0,1913,54
910.0,841,33
900.0,841,33
265.0,1693,14
250.0,1692,13
200.0,1540,14
255.0,1541,14
655.0,1888,27
605.0,1895,27
485.0,1897,22
630.0,1900,22
395.0,1757,19
395.0,1756,19
710.0,2089,24
615.0,2095,23
775.0,820,10
790.0,820,10
655.0,681,10
610.0,683,10
240.0,265,4
240.0,265,4
790.0,725,20
780.0,725,20
1235.0,1320,21
1405.0,1320,21
1395.0,1278,24
1390.0,1281,22
102.0,1488,16
70.0,1487,16
190.0,1500,13
120.0,1500,13
240.0,265,5
245.0,265,5
320.0,1756,12
300.0,1759,12
160.0,1581,13
250.0,1581,13
1410.0,1291,31
1410.0,1292,31
155.0,1451,34
140.0,1453,34
360.0,323,14
355.0,323,14
1075.0,1024,22
1035.0,1024,22
820.0,754,11
820.0,754,11
600.0,555,15
600.0,557,15
1005.0,996,15
990.0,996,15
1050.0,937,29
1050.0,938,28
1030.0,1021,24
1100.0,1019,24
385.0,1747,20
405.0,1734,20
405.0,375,14
400.0,375,14
525.0,484,11
520.0,484,11
210.0,1513,25
180.0,1517,25
370.0,1711,23
360.0,1714,23
350.0,304,7
345.0,304,7
915.0,768,16
925.0,768,16
515.0,415,12
565.0,415,12
1280.0,1057,14
1270.0,1059,14
440.0,2350,7
535.0,2351,6
1370.0,1431,18
1410.0,1429,18
720.0,774,4
720.0,774,4
265.0,2026,8
205.0,2033,8
1260.0,1301,6
1245.0,1306,6
880.0,795,15
855.0,796,15
710.0,831,5
760.0,831,5
535.0,492,9
520.0,492,9
700.0,644,16
700.0,644,16
1180.0,2446,26
1250.0,2448,26
1355.0,1253,13
1360.0,1253,13
920.0,1157,5
990.0,1158,5
255.0,247,6
240.0,247,6
420.0,491,6
410.0,493,6
305.0,1957,6
315.0,1959,6
1025.0,1355,7
1065.0,1358,7
1000.0,1425,7
